16
Четыре_Сыра                 Обычно  359  Мясной  12
С_Картофелем                Обычно  269  Овощной 10
С_Картофелем_И_Сыром        Часто   289  Овощной 10
С_Картофелем_И_Грибами      Часто   369  Овощной 11
С_Курицей                   Обычно  279  Мясной  13
С_Курицей_И_Сыром           Обычно  299  Мясной  14
С_Курицией_И_Грибами        Обычно  339  Мясной  15
С_Куриной_Печенью_И_Салом   Редко   349  Мясной  14
С_Капустой                  Редко   239  Овощной 11
С_Капустой_И_Грибами        Обычно  299  Овощной 13
Со_Шпинатом                 Обычно  249  Овощной 12
Со_Шпинатом_И_Сыром         Часто   269  Овощной 13
С_Вишней                    Часто   299  Сладкий 9
С_Творогом_И_Изюмом         Обычно  299  Сладкий 11
С_Творогом_И_Курогой        Редко   299  Сладкий 11
С_Черной_Смородиной         Обычно  349  Сладкий 10
